alt,vel,radiance,force,year,month,day,lattitude,longitude,X,Y,energy
,,58000000000.0,0.19,2017,7,31,-118.5,24.7,-13191359.659,2838941.12696,58000.0
38.0,17.2,35000000000.0,0.12,2017,7,23,-69.7,-6.6,-7758968.50829,-736338.874765,35000.0
35.0,13.7,73000000000.0,0.23,2017,7,13,60.7,23.1,6757093.09115,2644116.434,73000.0
20.0,15.2,94000000000.0,0.29,2017,6,30,134.5,-34.3,14972471.5117,-4069156.18281,94000.0
35.1,24.3,1.84e+11,0.52,2017,6,23,143.7,57.0,15996610.827,7760118.6729,184000.0
33.3,13.6,6.36e+11,1.6,2017,6,20,133.0,-54.2,14805492.2755,-7208125.2609,636000.0
46.0,18.4,90000000000.0,0.28,2017,5,24,101.8,-9.1,11332324.1628,-1017293.33679,90000.0
33.0,,35000000000.0,0.12,2017,5,22,-157.6,-49.6,-17543951.749,-6377288.91772,35000.0
33.0,,35000000000.0,0.12,2017,5,14,32.4,-26.0,3606751.5017,-2999080.94347,35000.0
32.4,21.5,1.5e+11,0.43,2017,4,30,56.2,-25.7,6256155.38258,-2961971.85332,150000.0
28.0,,1.263e+12,2.9,2017,3,11,-60.2,28.3,-6701433.34576,3286849.84766,1263000.0
23.0,36.5,4e+11,1.0,2017,3,9,-18.0,40.5,-2003750.83428,4938869.17579,400000.0
37.0,,72000000000.0,0.23,2017,3,8,174.9,-26.1,19469778.9397,-3011471.65248,72000.0
25.4,12.2,65000000000.0,0.21,2017,2,25,13.5,29.5,1502813.12571,3439440.06073,65000.0
,,38000000000.0,0.13,2017,2,21,-66.0,-50.7,-7347086.39236,-6568397.78129,38000.0
38.0,24.2,2.95e+11,0.79,2017,2,18,60.4,6.2,6723697.24391,691531.744085,295000.0
54.0,,20000000000.0,0.073,2017,2,7,-14.8,-27.4,-1647528.46374,-3173535.96633,20000.0
33.5,,66000000000.0,0.21,2017,2,6,131.6,10.4,14649644.9884,1164132.90445,66000.0
42.0,29.7,38000000000.0,0.13,2016,12,23,49.3,21.3,5488050.89611,2427686.54362,38000.0
,,1.17e+11,0.35,2016,12,7,-126.6,-34.5,-14093047.5344,-4096139.04045,117000.0
,,31000000000.0,0.11,2016,11,29,-93.1,-30.6,-10363844.5929,-3580909.76046,31000.0
30.6,17.4,1.38e+11,0.4,2016,11,24,80.3,-15.2,8938955.1107,-1712260.25586,138000.0
37.0,,76000000000.0,0.24,2016,11,3,-16.3,-39.6,-1814507.69993,-4807984.49319,76000.0
27.8,14.2,31000000000.0,0.11,2016,10,1,6.7,36.2,745840.588315,4328176.0753,31000.0
40.0,17.5,71000000000.0,0.22,2016,9,22,178.5,-51.8,19870529.1066,-6764043.36075,71000.0
54.0,18.3,76000000000.0,0.24,2016,9,14,44.6,-3.5,4964849.28938,-389860.758254,76000.0
42.0,,1.42e+11,0.41,2016,8,27,162.2,-56.9,18056021.4067,-7739706.94735,142000.0
34.3,14.9,1.84e+11,0.52,2016,8,11,53.8,-43.7,5988988.60468,-5419133.25936,184000.0
32.4,,1.21e+11,0.36,2016,8,5,171.6,46.4,19102424.6201,5844682.85106,121000.0
37.0,,45000000000.0,0.15,2016,7,21,-1.6,7.8,-178111.185269,870986.520129,45000.0
38.2,25.1,1.53e+11,0.44,2016,7,5,48.6,1.0,5410127.25255,111325.142866,153000.0
33.3,29.1,4.58e+11,1.2,2016,6,27,-11.9,15.8,-1324701.94044,1781573.18219,458000.0
28.7,14.5,3.31e+11,0.87,2016,6,5,138.3,-17.4,15395485.5767,-1967437.5314,331000.0
,,1.72e+11,0.49,2016,6,2,-110.9,33.8,-12345331.529,4001978.42356,172000.0
32.0,,69000000000.0,0.22,2016,5,29,-48.8,10.2,-5432391.15071,1141504.33572,69000.0
30.6,20.8,20000000000.0,0.073,2016,5,20,15.1,-32.8,1680924.31098,-3868787.2981,20000.0
41.7,12.2,5.19e+11,1.3,2016,5,16,6.6,3.2,734708.639236,356407.708114,519000.0
33.0,,1.01e+11,0.31,2016,5,13,-122.3,26.2,-13614373.724,3023872.96043,101000.0
