Index,Year,Belgium,Denmark,Netherlands,Sweden
0,1950,8.6393,4.28135,10.11365,7.0166
1,1951,8.6782,4.3037,10.2644,7.0704
2,1952,8.7304,4.3338,10.3821,7.12445
3,1953,8.77775,4.3693,10.493,7.17145
4,1954,8.8194,4.4057,10.61535,7.2136
5,1955,8.86835,4.4392,10.7509,7.26235
6,1956,8.92385,4.4664,10.8896,7.3157
7,1957,8.98935,4.48785,11.02635,7.36715
8,1958,9.05255,4.5151,11.1868,7.4153
9,1959,9.1036,4.5466,11.3477,7.45375
10,1960,9.1188,4.58105,11.4867,7.48035
11,1961,9.16585,4.6169,11.63875,7.52065
12,1962,9.2184,4.64695,11.80565,7.5616
13,1963,9.2831,4.6836,11.9658,7.60435
14,1964,9.36695,4.7202,12.12715,7.6614
15,1965,9.448,4.7581,12.29465,7.7339
16,1966,9.50785,4.7975,12.4564,7.80785
17,1967,9.55645,4.83875,12.59825,7.86775
18,1968,9.58985,4.86485,12.7297,7.9123
19,1969,9.6126,4.89075,12.87805,7.968
20,1970,9.6377,4.9288,13.0385,8.04285
21,1971,9.6733,4.9507,13.19455,8.09835
22,1972,9.7111,4.9756,13.32835,8.12245
23,1973,9.7418,5.0076,13.4392,8.1369
24,1974,9.75655,5.04525,13.54515,8.16035
25,1975,9.80085,5.0544,13.6664,8.1927
26,1976,9.81815,5.07255,13.774,8.2224
27,1977,9.8303,5.0883,13.85625,8.25145
28,1978,9.8373,5.10435,13.94185,8.27585
29,1979,9.8484,5.1168,14.03825,8.2937
30,1980,9.85515,5.123,14.1497,8.31045
31,1981,9.8488,5.1217,14.2471,8.3205
32,1982,9.8573,5.11775,14.31275,8.32515
33,1983,9.858,5.1143,14.36695,8.329
34,1984,9.853,5.1116,14.4242,8.3366
35,1985,9.85825,5.1137,14.49165,8.3504
36,1986,9.8648,5.1204,14.5721,8.3698
37,1987,9.8702,5.127,14.66525,8.39785
38,1988,9.9017,5.1293,14.7601,8.4365
39,1989,9.9377,5.1323,14.849,8.49295
40,1990,9.9674,5.1399,14.9515,8.55865
41,1991,10.0046,5.15405,15.06955,8.61365
42,1992,10.04515,5.1702,15.18405,8.6682
43,1993,10.0837,5.18925,15.29055,8.71865
44,1994,10.1154,5.20505,15.38285,8.78105
45,1995,10.13675,5.2279,15.45895,8.827
46,1996,10.156643,5.26165,15.5305,8.84105
47,1997,10.170226,5.2843,15.6108,8.84625
48,1998,10.203008,5.3013,15.7073,8.8512
49,1999,10.226422,5.31911,15.812,8.858051
50,2000,10.2512555,5.337344,15.9255195,8.872294
51,2001,10.2865745,5.355082,16.0461865,8.896127
52,2002,10.332792,5.374255,16.148933,8.924958
53,2003,10.3761325,5.387174,16.2253085,8.958229
54,2004,10.4211365,5.401177,16.281779,8.993531
55,2005,10.4786235,5.415978,16.32001,9.029572
56,2006,10.54796275,5.434567,16.346242,9.0805045
57,2007,10.6257055,5.457415,16.381703,9.148099
58,2008,10.709979,5.489022,16.4456015,9.2196435
59,2009,10.7964985,5.519441,16.5303925,9.2985205
60,2010,10.839905,5.543819,16.6153995,9.378126
61,2011,11.000638,5.566856,16.69308,9.4492195
62,2012,11.09485,5.587085,16.754968,9.519381
63,2013,11.178436,5.608784,16.8044385,9.6003785
64,2014,11.227283,5.639719,16.8044385,9.6961095
65,2015,,,16.9399275,9.6961095
